venue,paper_count,avg_citations
ACM Transactions on Modeling and Computer Simulation,409,59.7041564792176
ACM Transactions on Modeling and Performance Evaluation of Computing ,27,10.925925925925926
"ACM Transactions on Multimedia Computing, Communications, and Applications",415,37.679518072289156
ACM Transactions on Programming Languages and Systems,765,157.98562091503268
ACM Transactions on Reconfigurable Technology and Systems,221,27.14027149321267
ACM Transactions on Sensor Networks,416,61.04807692307692
ACM Transactions on Software Engineering and Methodology,340,125.61764705882354
ACM Transactions on Spatial Algorithms and Systems,22,8.590909090909092
ACM Transactions on Speech and Language Processing,79,46.151898734177216
ACM Transactions on Storage,176,51.09659090909091
ACM Transactions on The Web,189,61.48677248677249
AIAA Journal,2,9.0
AIP Advances,4,25.0
AStA Wirtschafts- und Sozialstatistisches Archiv,100,9.09
Abdominal Imaging,82,19.21951219512195
Academic Radiology,4,50.0
Acta Acustica United With Acustica,1,50.0
Acta Analysis Functionalis Applicata,1,5.0
Acta Applicandae Mathematicae,7,41.285714285714285
Acta Arithmetica,4,25.25
Acta Astronautica,4,22.0
Acta Automatica Sinica,2,85.5
Acta Biotheoretica,1,50.0
Acta Crystallographica Section A,2,26.0
Acta Crystallographica Section D-biological Crystallography,1,24300.0
Acta Cybernetica,202,19.287128712871286
Acta Informatica,1151,51.92267593397046
Acta Mathematica,1,6.0
Acta Mathematica Hungarica,1,0.0
Acta Mathematica Scientia,1,0.0
Acta Mathematica Sinica,3,33.333333333333336
Acta Mathematicae Applicatae Sinica,1,50.0
Acta Mechanica,1,50.0
Acta Numerica,2,50.0
Acta Physica Polonica A,8,32.0
Acta Physica Polonica B,2,25.5
Acta Psychologica,2,77.5
Ad Hoc & Sensor Wireless Networks,41,29.853658536585368
Adaptive Behavior,391,52.171355498721226
Administrative Science Quarterly,1,50.0
Advanced Data Analysis and Classification,207,29.198067632850243
Advanced Engineering Informatics,613,42.21859706362153
Advanced Functional Materials,1,82.0
Advanced Materials Research,2,50.0
Advanced Robotics,1630,24.631901840490798
Advances in Adaptive Data Analysis,112,55.99107142857143
Advances in Applied Clifford Algebras,6,33.333333333333336
Advances in Applied Mathematics,38,33.68421052631579
Advances in Applied Mathematics and Mechanics,1,50.0
Advances in Applied Probability,13,45.23076923076923
Advances in Artificial Intelligence,77,52.45454545454545
Advances in Artificial Neural Systems,71,10.169014084507042
Advances in Bioinformatics,127,21.22047244094488
Advances in Colloid and Interface Science,1,0.0
Advances in Complex Systems,574,34.29790940766551
Advances in Computational Mathematics,902,45.992239467849224
Advances in Computers,391,36.08184143222506
Advances in Computing Research,1,196.0
Advances in Electrical and Computer Engineering,2,0.0
Advances in Engineering Software,1262,29.90649762282092
Advances in Experimental Medicine and Biology,2,1.5
Advances in Fuzzy Systems,167,15.850299401197605
Advances in High Energy Physics,1,50.0
Advances in Human Factors\/ergonomics,100,6.93
Advances in Human-computer Interaction,131,28.412213740458014
Advances in Mathematical Physics,2,0.0
Advances in Mathematics,16,50.8125
Advances in Mathematics of Communications,125,16.336
Advances in Numerical Analysis,31,10.419354838709678
Advances in Operations Research,53,4.867924528301887
Advances in Optical Technologies,1,1.0
Advances in Physics,1,50.0
Advances in Science and Technology,1,0.0
Advances in Software Engineering,67,21.940298507462686
Advances in Space Research,3,51.0
Advances in Strategic Management -a Research Annual,1,0.0
Advances in Water Resources,3,24.333333333333332
Aequationes Mathematicae,3,35.0
Aerospace Science and Technology,3,17.0
Aeu-international Journal of Electronics and Communications,6,41.833333333333336
Ai & Society,841,22.28537455410226
Ai Communications,389,54.49357326478149
"Ai Edam Artificial Intelligence for Engineering Design, Analysis and Manufacturing",522,40.84099616858238
Ai Magazine,842,70.57957244655582
Aiche Journal,1,10.0
Aircraft Engineering and Aerospace Technology,2,25.0
Algebra Colloquium,1,1.0
Algebra Universalis,6,18.166666666666668
Algebraic & Geometric Topology,1,50.0
Algorithmic Operations Research,80,22.9375
Algorithmica,1541,48.4315379623621
Algorithms,329,11.623100303951368
Algorithms for Molecular Biology,280,32.28214285714286
Alzheimers & Dementia,1,0.0
American Behavioral Scientist,4,142.25
American Journal of Applied Sciences,1,0.0
American Journal of Engineering and Applied Sciences,1,0.0
American Journal of Human Genetics,1,279.0
American Journal of Mathematics,1,50.0
American Journal of Physics,4,136.5
American Journal of Roentgenology,1,91.0
American Mathematical Monthly,239,16.83682008368201
American Sociological Review,1,50.0
Analog Integrated Circuits and Signal Processing,35,16.97142857142857
Analysis and Applications,1,50.0
Analyst,1,0.0
Analytical Chemistry,1,67.0
Analytical and Bioanalytical Chemistry,1,106.0
Annalen der Physik,1,3.0
Annales De L Institut Henri Poincare-probabilites Et Statistiques,4,43.75
Annales Des Télécommunications,1202,19.44675540765391
Annales Scientifiques De L Ecole Normale Superieure,1,0.0
"Annales Umcs, Informatica",210,6.828571428571428
Annali Dell'universita' Di Ferrara,1,50.0
Annali di Matematica Pura ed Applicata,1,0.0
Annals of Applied Probability,24,43.208333333333336
Annals of Biomedical Engineering,3,38.333333333333336
Annals of Combinatorics,8,22.5
Annals of Gis \/ Geographic Information Sciences,235,26.170212765957448
Annals of Mathematics,3,78.0
Annals of Mathematics and Artificial Intelligence,969,41.73374613003096
Annals of Neurology,1,0.0
Annals of Nuclear Energy,1,0.0
Annals of Operations Research,2771,39.404547094911585
"Annals of Otology, Rhinology, and Laryngology",1,0.0
Annals of Physics,3,16.666666666666668
Annals of Probability,2,35.5
Annals of Pure and Applied Logic,1369,27.590211833455076
Annals of Regional Science,4,0.0
Annals of Software Engineering,174,66.36206896551724
Annals of Statistics,31,151.03225806451613
Annals of The American Academy of Political and Social Science,1,50.0
Annals of Tourism Research,1,50.0
Annals of the Institute of Statistical Mathematics,2,50.0
Annals of the New York Academy of Sciences,2,50.0
Annual Review of Condensed Matter Physics,1,58.0
"Annual Review of Ecology, Evolution, and Systematics",1,2102.0
Annual Review of Economics,1,50.0
Annual Reviews in Control,307,53.03257328990228
Antiquity,1,107.0
Anziam Journal,1,50.0
"Applicable Algebra in Engineering, Communication and Computing",752,30.57845744680851
Applicable Analysis,4,38.25
Applications of Mathematics,1,21.0
Applied Acoustics,2,40.5
Applied Artificial Intelligence,867,39.1038062283737
Applied Bionics and Biomechanics,3,33.333333333333336
Applied Catalysis A-general,2,50.0
Applied Categorical Structures,665,24.022556390977442
Applied Computational Intelligence and Soft Computing,3,0.0
Applied Economics Letters,1,50.0
Applied Energy,6,36.833333333333336
Applied Ergonomics,2,50.0
Applied Geography,3,17.666666666666668
Applied Informatics,13,10.615384615384615
Applied Intelligence,1231,32.13647441104793
Applied Mathematical Finance,2,40.5
Applied Mathematical Modelling,5,24.6
Applied Mathematics & Information Sciences,3,34.0
Applied Mathematics Letters,2584,23.761609907120743
Applied Mathematics and Computation,12956,24.874035196048162
Applied Mathematics and Optimization,3,50.0
Applied Mathematics-a Journal of Chinese Universities Series B,5,12.6
Applied Mechanics Reviews,1,5789.0
Applied Mechanics and Materials,3,6.0
Applied Medical Informaticvs,179,12.340782122905027
Applied Numerical Mathematics,4,42.25
Applied Ontology,119,44.57983193277311
Applied Optics,8,31.25
Applied Physics Letters,16,46.4375
Applied Soft Computing,908,22.470264317180618
Applied Stochastic Models in Business and Industry,1,0.0
Applied Superconductivity,1,50.0
Applied and Computational Harmonic Analysis,79,75.78481012658227
Arabian Journal for Science and Engineering,4,25.25
Archiv der Mathematik,3,17.666666666666668
Archive for Mathematical Logic,859,25.128055878928986
Archives and Museum Informatics,49,15.020408163265307
Archives of Civil and Mechanical Engineering,1,50.0
Area,15,20.266666666666666
Argument & Computation,56,33.625
Ars Combinatoria,95,13.631578947368421
Ars Mathematica Contemporanea,9,24.666666666666668
Arthritis Research & Therapy,1,18.0
Artificial Intelligence,1987,167.17312531454454
Artificial Intelligence Review,935,48.484491978609626
Artificial Intelligence and Law,267,39.764044943820224
Artificial Intelligence in Engineering,234,44.13247863247863
Artificial Intelligence in Medicine,1089,50.44260789715335
Artificial Life,776,39.68943298969072
Artificial Life and Robotics,1,0.0
Asia-Pacific Journal of Chemical Engineering,1,0.0
Asia-Pacific Journal of Operational Research,467,22.319057815845824
Asia-pacific Education Researcher,1,2.0
Asian Journal of Control,7,35.285714285714285
Asian-european Journal of Mathematics,2,25.0
Aslib Proceedings,488,35.15573770491803
Assembly Automation,3,80.33333333333333
Astronomische Nachrichten,2,74.0
Astronomy & Astrophysics Supplement Series,1,50.0
Astronomy and Astrophysics,13,29.46153846153846
Astronomy and Computing,18,19.0
Astroparticle Physics,1,50.0
Astrophysical Bulletin,1,50.0
Astrophysical Journal Supplement Series,2,25.0
Astrophysics and Space Science,3,33.333333333333336
Asymptotic Analysis,261,17.593869731800766
At-automatisierungstechnik,12,8.666666666666666
Australasian Journal of Educational Technology,1,754.0
Australasian Journal of Information Systems,345,25.304347826086957
Australasian Physical & Engineering Sciences in Medicine,2,30.0
Automatic Control and Computer Sciences,471,9.78556263269639
Automatica,6768,66.87056737588652
Automation and Remote Control,8,60.125
Automation in Construction,1,50.0
Automatisierungstechnik,24,5.458333333333333
Autonomous Agents and Multi-Agent Systems,496,76.97379032258064
Autonomous Robots,908,66.95814977973568
Aviation,1,50.0
B E Journal of Theoretical Economics,2,35.5
BMC Bioinformatics,7612,50.77023121387283
BMC Evolutionary Biology,1,50.0
BMC Genetics,1,50.0
BMC Genomics,94,30.96808510638298
BMC Immunology,1,50.0
BMC Infectious Diseases,1,0.0
BMC Medical Ethics,1,19.0
BMC Medical Genomics,2,26.5
BMC Medical Imaging,397,22.47103274559194
BMC Medical Informatics and Decision Making,1218,30.686371100164205
BMC Medical Research Methodology,1,50.0
BMC Neuroscience,15,21.066666666666666
BMC Proceedings,1,50.0
BMC Public Health,1,50.0
BMC Research Notes,2,50.0
BMC Systems Biology,1631,36.14530962599632
BMJ,1,0.0
Bayesian Analysis,2,62.5
Behavior Research Methods,1,50.0
Behavior Research Methods Instruments & Computers,1,50.0
Behavioral and Brain Sciences,2,71.5
Behaviormetrika,2,0.5
Behaviour & Information Technology,1128,38.68262411347518
Belgian Journal of Linguistics,2,1.0
Belgian Journal of Zoology,1,0.0
Bell Labs Technical Journal,714,24.985994397759104
Bell System Technical Journal,1,453.0
Bellman Prize in Mathematical Biosciences,5,15.2
Berkeley Technology Law Journal,1,0.0
Bernoulli,2,27.0
Bibliothek Forschung Und Praxis,1,2.0
Big Data Research,45,19.77777777777778
BioMed Research International,9,31.0
BioSystems,1028,22.230544747081712
Biochemical Journal,1,50.0
Biochemical and Biophysical Research Communications,1,17.0
Biochimica et Biophysica Acta,2,50.0
Biodata Mining,229,24.131004366812228
Bioethics,1,1.0
Bioimaging,7,2.5714285714285716
Bioinformatics,8862,107.86752426088918
Bioinspiration & Biomimetics,5,23.2
Biological Chemistry,1,60.0
Biological Cybernetics,1806,51.571982281284605
Biology,1,1.0
Biology Letters,1,50.0
Biomechanics and Modeling in Mechanobiology,1,0.0
Biomedical Optics Express,3,20.666666666666668
Biomedical Signal Processing and Control,896,19.313616071428573
Biometals,9,26.0
Bioorganic & Medicinal Chemistry,1,0.0
Bioorganic & Medicinal Chemistry Letters,1,50.0
Biophysical Journal,17,9.470588235294118
Bioresource Technology,3,50.0
Bios,1,0.0
Biotechnology Letters,1,50.0
Bit Numerical Mathematics,268,34.66044776119403
Boletin De La Sociedad Matematica Mexicana,1,0.0
Brain Imaging and Behavior,1,50.0
Brain Informatics,176,18.448863636363637
Brain Research,1,21.0
Brain Structure & Function,1,13.0
Brain and Cognition,2,50.0
Brazilian Journal of Physics,1,50.0
Breast Cancer Research,1,1.0
Briefings in Bioinformatics,612,92.3202614379085
Briefings in Functional Genomics,1,50.0
British Journal of Educational Technology,1183,38.64919695688926
British Journal of Mathematical and Statistical Psychology,2,28.0
British Journal of Radiology,1,50.0
Bt Technology Journal,1,50.0
Building and Environment,1,0.0
Bulletin Des Sciences Mathematiques,1,50.0
Bulletin of Earthquake Engineering,1,3.0
Bulletin of Materials Science,1,0.0
Bulletin of Mathematical Biology,10,40.2
Bulletin of The American Society for Information Science and Technology,4,24.0
Bulletin of The Australian Mathematical Society,2,25.0
Bulletin of The Belgian Mathematical Society-simon Stevin,1,8.0
Bulletin of The European Association for Theoretical Computer Science,98,22.918367346938776
Bulletin of The Iranian Mathematical Society,1,50.0
Bulletin of The Korean Mathematical Society,1,1.0
Bulletin of The London Mathematical Society,4,37.5
Bulletin of The Polish Academy of Sciences-technical Sciences,2,26.5
Bulletin of the American Mathematical Society,4,64.75
Bulletin of the Malaysian Mathematical Sciences Society,2,0.0
Business & Information Systems Engineering,11,22.0
Business & Society,1,1.0
Business Horizons,1,84.0
Business Process Management Journal,746,49.01474530831099
Campus-wide Information Systems,2,26.5
Canadian Journal of Chemistry,1,0.0
Canadian Journal of Electrical and Computer Engineering-revue Canadienne De Genie Electrique Et Informatique,2,50.0
Canadian Journal of Mathematics,1,50.0
Canadian Journal of Remote Sensing,1,107.0
Canadian Journal of Statistics-revue Canadienne De Statistique,2,50.0
Canadian Mathematical Bulletin,1,0.0
Cancer Informatics,1,50.0
Cancer Letters,2,316.5
Caries Research,1,10.0
Cartographica: The International Journal for Geographic Information and Geovisualization,130,24.653846153846153
Cartography and Geographic Information Science,1,207.0
Cataloging & Classification Quarterly,1,50.0
Catalysis Today,9,5.777777777777778
Catena,1,0.0
Celestial Mechanics and Dynamical Astronomy,1,26.0
Central European Journal of Operations Research,394,26.522842639593907
Central European Journal of Physics,2,1.0
Challenge,1,50.0
Chaos,46,41.19565217391305
Chaos Solitons & Fractals,20,34.0
Chemical Biology & Drug Design,1,50.0
Chemical Communications,1,50.0
Chemical Engineering Research & Design,2,25.0
Chemical Engineering Science,3,20.333333333333332
Chemical Papers,1,50.0
Chemical Physics Letters,2,0.5
Chemical Science,1,50.0
Chemie Ingenieur Technik,1,50.0
Cheminform,26,32.76923076923077
Chemistry: A European Journal,1,50.0
Chemometrics and Intelligent Laboratory Systems,5,86.8
Chicago Journal of Theoretical Computer Science,45,20.333333333333332
Child Development,1,50.0
Chimia,1,10.0
China Communications,4,25.5
Chinese Journal of Aeronautics,1,50.0
Chinese Journal of Physiology,1,50.0
Chinese Medicine,1,0.0
Chinese Optics Letters,2,2.0
Chinese Physics,1,6.0
Chinese Physics B,2,0.0
Chinese Physics C,2,25.0
Chinese Physics Letters,4,50.0
Chinese Science Bulletin,2,44.5
Circuit World,1,8.0
Circuits Systems and Signal Processing,1310,12.07175572519084
Circuits and Systems,38,13.18421052631579
Classical and Quantum Gravity,2,50.0
Clei Electronic Journal,136,14.882352941176471
Clinical Gastroenterology and Hepatology,2,50.0
Clinical Linguistics & Phonetics,1,0.0
Clinical and Investigative Medicine,1,50.0
Cluster Computing,1007,29.653426017874875
Cmc-computers Materials & Continua,1,4.0
Cmes-computer Modeling in Engineering & Sciences,2,6.0
Cocos,11,10.363636363636363
Codesign,1,5.0
Cognition,5,33.0
Cognition and Instruction,1,157.0
"Cognition, Technology & Work",471,32.938428874734605
Cognitive Computation,417,27.194244604316548
Cognitive Neurodynamics,2,26.5
Cognitive Processing,481,30.584199584199585
Cognitive Psychology,1,50.0
Cognitive Science,1517,111.92682926829268
Cognitive Systems Research,391,44.40409207161125
Collection Building,1,50.0
College & Research Libraries,62,22.79032258064516
College & Research Libraries News,1,50.0
Colloquium Mathematicum,1,50.0
Combinatorial Chemistry & High Throughput Screening,1,13.0
Combinatorica,934,49.53426124197002
"Combinatorics, Probability & Computing",739,34.32882273342354
Combustion and Flame,1,50.0
Communication Research,300,67.70666666666666
Communications & Strategies,1,50.0
Communications and Network,37,7.1891891891891895
Communications in Algebra,4,29.5
Communications in Contemporary Mathematics,2,25.0
Communications in Mathematical Physics,18,46.44444444444444
Communications in Mathematical Sciences,4,88.0
Communications in Nonlinear Science and Numerical Simulation,19,33.73684210526316
Communications in Statistics - Simulation and Computation,1578,16.096958174904945
Communications in Statistics-theory and Methods,4,13.75
Communications in Theoretical Physics,2,50.0
Communications of The ACM,4076,140.58439646712463
Communications of The Ais,420,50.15952380952381
Communications of The IbIMA,1,1.0
Communications on Pure and Applied Mathematics,7,229.85714285714286
Communicative & Integrative Biology,2,50.0
Comparative and Functional Genomics,1,50.0
Compare,3,10.666666666666666
Compel-the International Journal for Computation and Mathematics in Electrical and Electronic Engineering,2,3.5
Complex Systems,77,49.467532467532465
Complexity,692,42.40173410404624
Complexus,1,6.0
Composite Structures,3,0.0
Composites Part B-engineering,2,25.0
Comptes Rendus Mathematique,9,57.77777777777778
Comptes Rendus Physique,2,3.0
Computación Y Sistemas,108,7.861111111111111
Computational & Applied Mathematics,4,26.0
Computational Biology and Chemistry,1362,26.723935389133626
Computational Complexity,54,23.59259259259259
Computational Economics,2,0.0
Computational Geometry: Theory and Applications,782,42.28388746803069
Computational Geosciences,6,33.333333333333336
Computational Intelligence and Neuroscience,573,27.148342059336823
Computational Linguistics,593,193.23777403035413
Computational Management Science,263,28.315589353612168
Computational Materials Science,2,50.0
Computational Mathematics and Mathematical Physics,3,17.0
Computational Mechanics,6,29.333333333333332
Computational Methods and Function Theory,1,50.0
Computational Optimization and Applications,1314,39.94292237442922
Computational Science & Discovery,4,22.75
Computational Social Networks,6,16.666666666666668
Computational Statistics,5,34.0
Computational Statistics & Data Analysis,3425,33.22452554744525
Computational Visual Media,75,10.72
Computational and Mathematical Methods in Medicine,1009,11.207135777998017
Computational and Mathematical Organization Theory,365,42.1013698630137
Computer Aided Geometric Design,1196,42.42892976588629
Computer Aided Surgery,2,57.5
Computer Animation and Virtual Worlds,613,27.99673735725938
Computer Applications in Engineering Education,785,30.810191082802547
Computer Communication Review,5,23.2
Computer Communications,4283,35.95026850338548
Computer Graphics,4,11.0
Computer Graphics Forum,2713,51.20604496866937
Computer Languages,287,29.662020905923345
"Computer Languages, Systems & Structures",206,23.645631067961165
Computer Law & Security Review,1,50.0
Computer Methods and Programs in Biomedicine,2122,33.26484448633365
Computer Methods in Applied Mechanics and Engineering,30,32.0
Computer Methods in Biomechanics and Biomedical Engineering,4,0.5
Computer Music Journal,133,30.293233082706767
Computer Networks,3506,52.25499144324016
Computer Networks and Isdn Systems,610,41.395081967213116
Computer Physics Communications,2785,39.61903052064632
Computer Science,150,13.426666666666666
Computer Science - Research and Development,241,29.506224066390043
Computer Science Education,383,29.843342036553526
Computer Science Review,78,45.294871794871796
Computer Science and Information Systems,401,12.807980049875312
Computer Speech & Language,735,54.8108843537415
Computer Standards & Interfaces,914,30.550328227571114
Computer Supported Cooperative Work,6,354.5
Computer Systems: Science & Engineering,39,25.28205128205128
Computer Vision and Image Understanding,1833,79.17403164211674
Computer-aided Civil and Infrastructure Engineering,514,37.988326848249024
Computer-aided Design,2129,47.45514325974636
Computer-aided Design and Applications,3,33.666666666666664
Computerized Medical Imaging and Graphics,747,32.3186077643909
Computers & Chemical Engineering,3256,30.83108108108108
Computers & Education,1,0.0
Computers & Electrical Engineering,1579,21.789107029765674
Computers & Fluids,11,41.45454545454545
Computers & Geosciences,2194,32.690063810391976
Computers & Graphics,1702,35.55522914218567
Computers & Industrial Engineering,2651,32.72764994341758
Computers & Mathematics With Applications,4354,28.46853468075333
Computers & Operations Research,4163,48.83041076147009
Computers & Security,1250,39.4216
Computers & Structures,6,35.0
Computers and Biomedical Research,58,27.362068965517242
Computers and Electronics in Agriculture,626,7.263578274760383
Computers and Standards,1,50.0
Computers and The Humanities,414,35.734299516908216
Computers in Biology and Medicine,2066,29.94385285575992
Computers in Education,2454,69.96536267318663
Computers in Entertainment,2,25.0
Computers in Human Behavior,3604,44.13096559378469
Computers in Industry,1116,43.486559139784944
Computers in Physics,3,35.333333333333336
"Computers, Environment and Urban Systems",666,39.207207207207205
Computing,2047,37.86419149975574
Computing Systems,36,81.13888888888889
Computing and Informatics \/ Computers and Artificial Intelligence,585,16.704273504273505
Computing and Visualization in Science,129,23.472868217054263
Computing in Science and Engineering,1228,32.343648208469055
Comunicar,1,117.0
Concurrency and Computation: Practice and Experience,1601,40.14490943160525
Concurrent Engineering,229,36.157205240174676
Condensed Matter Physics,3,2.3333333333333335
Congestive Heart Failure,1,50.0
Connection Science,358,39.108938547486034
Constraints - An International Journal,315,41.384126984126986
Construction and Building Materials,4,66.75
Constructive Approximation,9,40.55555555555556
Contemporary Music Review,1,158.0
Contemporary Physics,1,91.0
Contexts,270,26.83703703703704
Continuum Mechanics and Thermodynamics,1,50.0
Contributions to Discrete Mathematics,99,17.262626262626263
Contributions to Zoology,1,50.0
Control Engineering Practice,13,45.23076923076923
Control and Cybernetics,12,23.416666666666668
Control and Intelligent Systems,169,21.266272189349113
Cortex,1,50.0
Creativity and Innovation Management,2,43.0
Critica-revista Hispanoamericana De Filosofia,1,99.0
Cryptography and Communications,171,21.058479532163744
Cryptologia,346,13.251445086705202
Current Applied Physics,2,25.5
Current Bioinformatics,1,50.0
Current Biology,2,93.5
Current Opinion in Immunology,1,57.0
Current Opinion in Microbiology,1,1.0
Current Opinion in Neurobiology,1,10.0
Current Opinion in Structural Biology,1,26.0
Current Opinion in Urology,1,45.0
Cvgip: Image Understanding,57,160.3684210526316
Cybernetics and Human Knowing,22,22.227272727272727
Cybernetics and Systems,647,25.330757341576508
Cybernetics and Systems Analysis,1,50.0
"Cyberpsychology, Behavior, and Social Networking",1204,60.1063122923588
Czechoslovak Mathematical Journal,2,2.5
D-lib Magazine,190,29.81578947368421
Data Mining and Knowledge Discovery,562,128.4252669039146
Data Science Journal,456,22.530701754385966
Data Science and Engineering,33,8.787878787878787
Database,652,31.30674846625767
Datenbank Rundbrief,5,4.8
Datenbank-spektrum,122,11.737704918032787
Datenschutz Und Datensicherheit,78,14.166666666666666
Datenschutz Und Datensicherheit - Dud,182,3.9615384615384617
Decision Analysis,257,27.48249027237354
Decision Sciences,506,72.53754940711462
Decision Support Systems,9,1.1111111111111112
Desalination,1,50.0
Design Automation for Embedded Systems,278,30.47841726618705
Design Journal,1,50.0
Design Studies,5,75.8
"Designs, Codes and Cryptography",1719,30.40954043048284
Development,28,3.9642857142857144
Development and Learning in Organizations,1,50.0
Differential Geometry and Its Applications,2,28.0
Digital Communications and Networks,4,16.75
Digital Creativity,366,17.579234972677597
Digital Humanities Quarterly,18,7.833333333333333
Digital Investigation,288,31.395833333333332
Digital Signal Processing,1603,29.809731752963195
Digital Technical Journal,3,26.0
Disability and Rehabilitation: Assistive Technology,2,49.0
Discourse Processes,1,97.0
Discrete Applied Mathematics,5203,32.46626945992696
Discrete Event Dynamic Systems,334,43.23053892215569
Discrete Mathematics,9764,26.807558377714052
Discrete Mathematics & Theoretical Computer Science,485,18.9340206185567
"Discrete Mathematics, Algorithms and Applications",253,10.328063241106719
Discrete Optimization,396,30.643939393939394
Discrete and Computational Geometry,1579,42.19759341355288
Discrete and Continuous Dynamical Systems-series B,3,40.0
Displays,439,23.211845102505695
Distances Et Savoirs,1,0.0
Distributed Computing,455,59.72527472527472
Distributed Systems Engineering,106,43.632075471698116
Distributed and Parallel Databases,363,56.25895316804408
Doklady Mathematics,1,50.0
Drug Discovery Today: Disease Models,1,0.0
Drug Safety,1,50.0
Duke Mathematical Journal,5,23.6
Dyna,3,50.0
Dynamic Games and Applications,162,21.185185185185187
E-learning,23,5.478260869565218
E-service Journal,1,50.0
EPJ Data Science,41,42.853658536585364
EPL,139,42.94964028776978
"ESAIM: Control, Optimisation and Calculus of Variations",6,42.666666666666664
EURASIP Journal on Advances in Signal Processing,3118,35.72161642078255
Earth Moon and Planets,1,0.0
Earth Science Informatics,271,18.232472324723247
Ecography,1,67.0
Ecological Complexity,2,27.0
Ecological Economics,1,0.0
Ecological Indicators,1,2.0
Ecological Informatics,662,20.356495468277945
Ecological Modelling,4,32.5
Econometrica,14,36.785714285714285
Economic Theory,2,26.0
Economics Bulletin,5,20.2
Economics Letters,7,36.42857142857143
Edpacs,4,37.5
Education 3-13,1,50.0
Education and Information Technologies,647,27.41421947449768
Educational Technology & Society,967,42.64219234746639
Egyptian Computer Science Journal,17,18.705882352941178
Egyptian Informatics Journal,1,8.0
Elearn,175,7.617142857142857
Electoral Studies,1,50.0
Electrical Engineering,1,0.0
Electronic Colloquium on Computational Complexity,283,13.992932862190813
Electronic Commerce Research,318,36.13522012578616
Electronic Commerce Research and Applications,489,57.47648261758691
Electronic Communication of The European Association of Software Science and Technology,656,20.13719512195122
Electronic Communications in Probability,11,45.81818181818182
"Electronic Government, An International Journal",209,17.822966507177032
Electronic Journal of Combinatorics,2225,21.714606741573032
