cluster_id,topic,title,abstract,venue,year
1,Data Mining & Databases,lossless data hiding based on smart boundary adjustment,"in this paper, we propose a lossless data hiding based on smart boundary adjustment approach. more specifically, by preserving either the minimum or the maximum pixel values of the blocks, data bits can be effectively embedded into the blocks without any occurrence of overflow and underflow. experiments confirm that perceived quality is good and the payload is large while our peak signal-to-noise ratio (psnr) is competitive to existing techniques.",intelligent information hiding and multimedia signal processing,2012
2,Machine Learning & Modeling,lecture design patterns: improving the beginning of a lecture,"lectures are still a common method of instruction in academic institutions. but it requires a careful design of lectures in order to make them of pedagogical value. special attention hereby needs to be paid at the beginning of a lecture, as the beginning is crucial for the success of the whole lecture. a bad beginning where students not even start to pay attention or drift away fast is hard to recover from, such recovery requires extra attention. a good beginning can contribute to an atmosphere where learning is more likely to happen.   in this paper we propose five patterns that help with designing a good beginning of lectures: c lear  s tarting  s ignal , s urprise  b eginning , e mphasize  r elevance  f irst , e ntrance  m aterial , and l ate  a ttendant  d iscouragement .",,2014
2,Machine Learning & Modeling,maxbin 2.0: an automated binning algorithm to recover genomes from multiple metagenomic datasets.,"the recovery of genomes from metagenomic datasets is a critical step to defining the functional roles of the underlying uncultivated populations. we previously developed maxbin, an automated binning approach for high-throughput recovery of microbial genomes from metagenomes. here we present an expanded binning algorithm, maxbin 2.0, which recovers genomes from co-assembly of a collection of metagenomic datasets. tests on simulated datasets revealed that maxbin 2.0 is highly accurate in recovering individual genomes, and the application of maxbin 2.0 to several metagenomes from environmental samples demonstrated that it could achieve two complementary goals: recovering more bacterial genomes compared to binning a single sample as well as comparing the microbial community composition between different sampling environments.maxbin 2.0 is freely available at http://sourceforge.net/projects/maxbin/ under bsd license.",Bioinformatics,2016
9,Fuzzy Systems & Decision Making,machine tuning of stable analytical fuzzy predictive controllers,"analytical fuzzy predictive controllers are composed of a few local controllers grouped in the fuzzy takagi-sugeno model. usually, they are designed using the pdc method. stability of the resulting system (controller + control plant) may be checked using variants of lyapunov stability criterion. one of the first such variants was the criterion developed by tanaka and sugeno. it is rather conservative criterion because, in its basic form, it does not take into consideration the shape of the membership functions. however, this drawback can be exploited in the proposed approach. after finding the lyapunov matrix for the system with the analytical fuzzy predictive controller, using e.g. lmis, it is possible to change the membership functions of the controller without sacrificing stability. it is done using the heuristic method. thus, practically any shape of membership functions may be assumed.",international conference on adaptive and natural computing algorithms,2009
2,Machine Learning & Modeling,tcp smart framing: a segmentation algorithm to reduce tcp latency,"tcp smart framing , or tcp-sf for short, enables the fast retransmit/recovery algorithms even when the congestion window is small. without modifying the tcp congestion control based on the additive-increase/multiplicative-decrease paradigm, tcp-sf adopts a novel segmentation algorithm: while classic tcp always tries to send full-sized segments, a tcp-sf source adopts a more flexible segmentation algorithm to try and always have a number of in-flight segments larger than 3 so as to enable fast recovery. we motivate this choice by real traffic measurements, which indicate that today's traffic is populated by short-lived flows, whose only means to recover from a packet loss is by triggering a retransmission timeout. the key idea of tcp-sf can be implemented on top of any tcp flavor, from tahoe to sack, and requires modifications to the server tcp stack only, and can be easily coupled with recent tcp enhancements.the performance of the proposed tcp modification were studied by means of simulations, live measurements and an analytical model. in addition, the analytical model we have devised has a general scope, making it a valid tool for tcp performance evaluation in the small window region. improvements are remarkable under several buffer management schemes, and maximized by byte-oriented schemes.",IEEE\/ACM Transactions on Networking,2005
8,"Algorithms, Graph Theory & Optimization",nonbinary quasi-regular qc-ldpc codes derived from cycle codes,"nonbinary ultra sparse codes, particularly regular cycle codes, are known to approach shannon-limit performance as the galois field    $ \mathrm {gf}(q)$    order is sufficiently large. good cycle codes can result from a class of algebraically defined graphs called cages. meanwhile, when smaller    $q$    is desirable, the cycle codes are outperformed by quasi-regular codes. in this letter, we propose a code construction method that takes a cage as a starting point and then progressively inserts a few additional edges into the graph. the edge insertion is terminated as soon as the code performance stops improving. our simulation results show that the obtained quasi-regular codes outperform cyclic codes for fields up to gf(64) and its performance is slightly better than the quasi-regular improved-progressive edge growth-based codes. the proposed algorithm preserves the block-circulant structure of the initial cage-based graph; therefore, it can be used for structured or quasi-cyclic codes design.",IEEE Communications Letters,2016
8,"Algorithms, Graph Theory & Optimization",constrained least squares estimation for position tracking,this paper describes an effective method for mobile location tracking and velocity estimation in a network-based wireless localization system. we propose a constrained least squares estimation algorithm for real-time tracking of the location and dynamic motion of a mobile user using toa measurements. the tracking problem is formulated in a state-space framework and the constraints on system states are considered explicitly. simulation results show that the proposed tracking algorithm can improve the accuracy through eliminating spurious position estimates.,"international conference on acoustics, speech, and signal processing",2006
7,Software Engineering & Web Systems,proposal of ontology for environmental impact assessment: an application with knowledge mobilization,"environmental impact assessment (eia) analyses the effects of human activity, ecosystem integrity and the quality of the environmental services that can be provided by them. this analysis must be done prior to project execution in order to have a preventive nature. the application of new technologies in eia needs an adequate structure of the knowledge, so a lot of problems appear because depending of the country, different terminologies are used. this paper describes a proposal of ontology for eia to establish a conceptual framework and the building process. in addition, we have developed a friendly web interface in order to provide easy access to the knowledge and the possibility to suggest changes in the ontology to environmental experts. the objectives are gathering and providing the eia terminology and facilitating structuring and the development of eia methodologies. finally, the paper describes how the ontology can be used in eia applications with knowledge mobilization.",Expert Systems With Applications,2011
2,Machine Learning & Modeling,a clearing system with impatient passengers: asymptotics and estimation in a bus stop model,"at some location buses stop to pick up the passengers waiting there and leave immediately, empty or occupied. passenger arrival times as well as bus arrival times form independent renewal processes. every passenger is willing to wait for a random amount of time before leaving, and every bus takes away all waiting passengers. for this pickup model, we study the distributions of the number of waiting passengers and of the individual sojourn times. the sojourn times lead to a markov chain embedded in the superposition of the two underlying renewal arrival processes, for which we study its convergence toward stationarity.",Queueing Systems,2015
7,Software Engineering & Web Systems,recent research and developments in temporal and spatiotemporal surveillance for public health,"the objective of public health surveillance is to systematically collect, analyze, and interpret public health data (about chronic or infectious diseases) to understand trends; detect changes in disease incidence and death rates; and plan, implement, and evaluate public health practices. recently, studies have been conducted to develop methods and algorithms for health surveillance and disease detection. this paper attempts to review recent research on temporal and spatiotemporal surveillance methods. we have addressed specific challenges and research gaps in the relevant research. lastly, we discuss a comparative example using a dataset of male thyroid cancer cases in new mexico.",IEEE Transactions on Reliability,2011
6,Signal Processing & Communications,a digital background calibration method for mash /spl sigma/-/spl delta/ modulators by using coefficient estimation,"this paper proposes a digital background calibration method that mitigates the effects of errors of 2/sup nd/ order analog loop filter in multi-bit cascaded sigma-delta modulators. in contrast to methods in which the general approach of adaptive fir filtering is taken, coefficient values determining both /spl omega/ and q of the noise transfer function are measured by a complex estimation technique in which the sampling clock signal divided by four is injected. measured coefficient values are periodically applied to digital iir noise cancellation filters. digital hardware is greatly simplified compared with the fir filter approach. not only dc gain error but also frequency dependent gain errors are compensated by the proposed method. the out-of-band test tone can be easily removed by a decimation filter, therefore background calibration is possible. the effectiveness of this method is verified through computer simulation.",international symposium on circuits and systems,2005
8,"Algorithms, Graph Theory & Optimization",incremental min-max projection analysis for classification,"for data classification, the standard implementation of projection algorithms do not scale well with large dataset size. it makes the computation of large samples infeasible. in this paper, we utilize a block optimization strategy to propose a new locally discriminant projection algorithm termed min-max projection analysis (mmpa). the algorithm takes into account both intra-class and interclass geometries and also possesses the orthogonality property. furthermore, an incremental mmpa is proposed to learn the local discriminant subspace with newly inserted data by employing the idea of singular value decomposition updating algorithm. moreover, we extend mmpa to the semi-supervised case and nonlinear case, namely, semi-supervised mmpa and kernel mmpa. the experimental results on image database, hand written digit database, and face database demonstrate the effectiveness of those proposed algorithms.",Neurocomputing,2014
7,Software Engineering & Web Systems,real time inspection of hidden worlds,"""smart things"" are commonly understood as wireless ad-hoc networked, mobile, autonomous, special purpose computing appliances, usually interacting with their environment implicitly via a variety of sensors on the input side and actuators on the output side. such smart appliances have started to populate the ""real world"" with ""hidden"" or ""invisible"" services, thus building up an ""invisible world"" of services associated with real world objects. with the embedding of invisible technology into everyday things, however, also the intuitive perception of ""invisible services"" disappears. we believe that it has potential advantages to support the perception of smart appliance services via novel interactive visual experiences. for this purpose we have developed and built digiscope, a see-through based visual real time perception system for ""invisible worlds"" to support interactive theater experience in mixed reality spaces. a case study is presented that demonstrates the use of digiscope to percept the ""invisible services"" of our smart internet appliance smartcase. opposed to previous work on mixed reality based augmentation of reality, the digiscope approach allows for a multiuser, collaborative real time perceptual experience.",,2003
7,Software Engineering & Web Systems,an exploratory mapping strategy for web-driven magazines,"""there will always (i hope) be print books, but just as the advent of photography changed the role of painting or film changed the role of theater in our culture, electronic publishing is changing the world of print media. to look for a one-to-one transposition to the new medium is to miss the future until it has passed you by."" - tim o'reilly [1].   it is not hard to envisage that publishers will leverage subscribers' information, interest groups' shared knowledge and others sources to enhance their publications. while this enhances the value of the publication through more accurate and personalized content, it also brings a new set of challenges to the publisher. content is now driven by web and in a truly automated system no designer ""re-touch"" intervention can be envisaged. the paper introduces an exploratory mapping strategy to allocate web driven content in a highly graphical publication like a traditional magazine. two major aspects of the mapping are covered, which enables different level of flexibility and addresses different content flowing strategies. the last contribution is an evaluation of existing standards, which potentially can leverage this work to incorporate more flexible mapping, and subsequently, composition capabilities.",document engineering,2008
4,Computer Vision & Image Processing,algorithm for 3d point cloud denoising,"the raw data of point cloud produced by 3d scanning tools contains additive noise from various sources. this paper proposes a method for 3d unorganized point cloud denoising by making full use of the depth information of unorganized points and space analytic geometry theory, applying over-domain average method for 2d image of image denoising theory to 3d point data. the point cloud noises are filtered by using irregular polyhedron based on the limited local neighborhoods. the experiment shows that the proposed method successfully removes noise from point cloud with the features of the scattered point model reserved. furthermore, the presented algorithm excels in its simplicity both in implementation and operation.",international conference on genetic and evolutionary computing,2009
7,Software Engineering & Web Systems,peer-to-peer research at stanford,n this paper we present recent and ongoing research projects of the peers research group at stanford university.,international conference on management of data,2003
7,Software Engineering & Web Systems,embedded software in digital am-fm chipset,"the new standard drm (digital radio mondial) for digital radio broadcast in the am band requires integrated devices for radio receivers at low cost and very low power consumption. a chipset is currently designed based upon an arm9 multi-core architecture. this paper introduces the application itself, the hw architecture of the soc, and the sw architecture which includes physical layer, receiver management, the application layer and the global scheduler, based on a real-time os. then, the paper presents the hw/sw partitioning and sw breakdown between the various processing cores. the methodology used in the project to develop, to validate and to integrate the sw, covering various methods such as simulation, emulation and co-validation is described. key points and critical issues are also addressed. one of the challenges is to integrate the whole receiver in the mono-chip with respect to the real-time constraints linked to the audio services.","design, automation, and test in europe",2003
3,Robotics & Control Systems,on-line kinematics reasoning for reconfigurable robot drives,"the control system for a mobile robot typically assumes fixed kinematics according to the drive's geometry and functionality. faults in the system, for example a blocked steering actuator, will then lead to an undesired behaviour, unless one takes care of specific single and/or multiple faults explicitly. we present a novel model-programmed procedure for on-line kinematics reasoning that allows a robot to deduce the (inverse)-kinematics of the drive and also its kinematic abilities for the specific modes of operation and some falt modes during operation. as a consequence, we can reconfigure a robot drive to compensate for some faults and also inform a higher level control system about changed mobility capabilities of a robot. being fault tolerant is, however, only one advantage of our approach that derives the kinematics control strategy from a geometric and functional model of the drive. we can easily adapt the controller for various robot drives, handle drives that change their geometry and functionality during run-time and also provide the basis for a flexible control scheme for self-configuring multi-robot systems.",international conference on robotics and automation,2010
2,Machine Learning & Modeling,protecting enterprise networks through attack surface expansion,"attack surface is a valuable metric that help administrators of enterprise networks to evaluate the risk and security of the entire network. in this paper, we first distinguish the internal attack surface observed by the network administrators from the external attack surface that can be detected by the external attackers. in contrast to the traditional attack surface reduction, we propose a new attack surface expansion (ase) mechanism that focuses on expanding the external attack surface, so that external attackers cannot easily identify the real internal attack surface from a much larger external attack surface.",,2014
3,Robotics & Control Systems,a simple framework of utility max-min flow control using sliding mode approach,"motivated by the limitations of current optimal flow control approach, we develop a new utility max-min flow control framework using classic sliding mode control. it consists of a source algorithm and a binary congestion feedback mechanism, in which only the sources with the highest utility at each congested link are required to reduce their transmission rates. it can be directly applied to a multi-service network with heterogeneous applications that have different qos characteristics. the proposed framework achieves the utility max-min fairness among applications efficiently in the sense of low overhead and rapid convergence. rigorously, the system is proven to be asymptotically stable by means of lyapunov's theorem.",IEEE Communications Letters,2009
7,Software Engineering & Web Systems,a pilot study of health information resource use in rural public libraries in upstate new york,"through telephone surveys and follow-up visits, we sought to answer the questions: in rural public libraries, what is the primary resource for health-related queries? do reported practices match actual practices? where do rural library staffs learn about health information? we found that 10 percent (average) of reference questions were health related. depending on the criteria, 30–60 percent of the time, reported practice matched actual practice. for print resources, the average book provided from the reference collection was 15 years old; for nonfiction it was 9 years old. “self-taught” and “library system” were most cited as resources for learning about health information.",Public Library Quarterly,2011
6,Signal Processing & Communications,robust timing epoch tracking for alamouti space-time coding in flat rayleigh fading mimo channels,"we propose a very low complexity timing error detector for n/sub t/ = 2 orthogonal space-time block coded m-psk systems with an arbitrary number of receive antennas. the algorithm uses maximum-likelihood detection variables to estimate the timing error by examining the difference in threshold crossings, similarly to the mueller and muller detector. we show that the timing error estimation is independent of the channel state, thus making it very robust in poor channel conditions. the decision directed version of the detector is used to evaluate the tracking performance for bpsk and qpsk signaling in 1-, 2- and 4-receive antenna systems. symbol error rate as well as mean square estimation error results are presented. we examine the performance as a function of the timing drift and show that the receiver is able to maintain lock up to a normalized timing bandwidth of b/sub t/t = 0.001. complete channel state estimation is assumed throughout the paper.",international conference on communications,2005
0,Networking & Wireless Communication,collaborative filtering using associative neural memory,"this paper introduces a collaborative filtering (cf) neural-network algorithm for recommending items. this algorithm connects the study of collaborative filtering with the study of associative memory, which is a neural network architecture that is significantly different from the dominant feedforward design. there are two types of cf systems – user-based and item-based, and we show that our cf system can have both interpretations. we further prove that, given a random subset of all users, our cf system is an unbiased estimator of predictions made from all users, thus theoretically justifying random sampling. we further apply standard neural network techniques, such as magnitude pruning and principle component analysis, to improve the system's scalability. results from experiments with the movielens dataset are shown.",international joint conference on artificial intelligence,2003
2,Machine Learning & Modeling,"primary natural relationship: bateson, rosen, and the vedas","purpose – to propose a conceptual paradigm for unifying concepts of material, living and spiritual nature, based on the natural philosophy of gregory bateson and the more formal relational theories of robert rosen.design/methodology/approach – the paper combines bateson's natural philosophy with the relational meta‐theory of robert rosen to develop the world view we believe bateson argued for. it shows that the assumptions of this view correspond with vedic philosophy. an integral view of nature that can underlie mechanistic and relational science is provided.findings – bateson's natural philosophy can be interpreted in terms of rosen's relational concepts to provide a unifying view of nature based on information entailments. this is described in terms of an irreducible complementarity between abstract and material aspects of nature (corresponding to bateson's “mind and nature”) that forms a causally effective, or “necessary” unity. encoding and decoding relations correspond with bateson's ideas of patter...",Kybernetes,2007
2,Machine Learning & Modeling,communication of spatial expressions on multi-agent systems using the qualitative ego-sphere,"the need for spatial representations and spatial reasoning is omnipresent in various real world applications of autonomous systems. the task of the qualitative spatial reasoning sub-field of artificial intelligence is to provide formalisms allowing a machine to represent and make inferences about spatial entities. in this work we make use of one such formalism for representing qualitative location, named qualitative ego-sphere (qes), that discretises the world around a visual agent into sectors, as well as with respect to the relative distance of objects from the observer's point of view. qes was used in this paper as a means for communicating spatial expressions between pairs of agents. four situations were proposed and implemented in order to address interactions between pairs of artificial agents and between an artificial agent and a human. tests with human volunteers suggested that the human description of space in sectors agrees with the qualitative discretisation provided by qes. however, no similar agreement rates were obtained regarding the description of space related to the distance between objects. this was arguably due to the fact that qualitative distance judgements imply the existence of some relative external reference frame (not taken into account in the qualitative ego-sphere formalism).",international conference on control and automation,2016
2,Machine Learning & Modeling,accurate source-level simulation of embedded software with respect to compiler optimizations,"source code instrumentation is a widely used method to generate fast software simulation models by annotating timing information into application source code. source-level simulation models can be easily integrated into systemc based simulation environment for fast simulation of complex multiprocessor systems. the accurate back-annotation of the timing information relies on the mapping between source code and binary code. the compiler optimizations might make it hard to get accurate mapping information. this paper addresses the mapping problems caused by complex compiler optimizations, which are the main source of simulation errors. to obtain accurate mapping information, we propose a method called  fine-grained flow mapping  that establishes a mapping between sequences of control flow of source code and binary code. in case that the code structure of a program is heavily altered by compiler optimizations, we propose to replace the altered part of the source code with functionally-equivalent ir-level code which has an optimized structure, leading to  partly optimized source code  (posc). then the flow mapping can be established between the posc and the binary code and the timing information is back-annotated to the posc. our experiments demonstrate the accuracy and speed of simulation models generated by our approach.","design, automation, and test in europe",2012
7,Software Engineering & Web Systems,a stackelberg game model for resource allocation in cargo container security,"this paper presents a game theoretic model that analyzes resource allocation strategies against an adaptive adversary to secure cargo container transportation. the defender allocates security resources that could interdict an unauthorized weapon insertion inside a container. the attacker observes the defender’s security strategy and chooses a site to insert the weapon. the attacker’s goal is to maximize the probability that the weapon reaches its target. the basic model includes a single container route. the results in the basic model suggest that in equilibrium the defender should maintain an equal level of physical security at each site on the cargo container’s route. furthermore, the equilibrium levels of resources to interdict the weapon overseas increase as a function of the attacker’s capability to detonate the weapon remotely at a domestic seaport. investment in domestic seaport security is highly sensitive to the attacker’s remote detonation capability as well. the general model that includes multiple container routes suggests that there is a trade-off between the security of foreign seaports and the physical security of sites including container transfer facilities, container yards, warehouses and truck rest areas. the defender has the flexibility to shift resources between non-intrusive inspections at foreign seaports and physical security of other sites on the container route. the equilibrium is also sensitive to the cost effectiveness of security investments. copyright springer science+business media, llc 2011",Annals of Operations Research,2011
2,Machine Learning & Modeling,a usim compatible 5g aka protocol with perfect forward secrecy,"in this paper, we present constructions for 3gpp authentication and key agreement (aka) that provides perfect forward secrecy for the session key. further, the constructs prevents an attacker, with access to the long-term pre-shared key, from simply eavesdropping the challenge rand in the aka run, and use the rand and long-term pre-shared key to derive the session key. we focus on making it possible to re-use large portions of the current structure of 3gpp interfaces and functions, with the rationale that this will make the constructions more likely to be adopted by the industry. in particular, the constructions maintain the interface between the universal subscriber identification module (usim) and the mobile terminal intact. as a consequence, there is no need to roll out new credentials to existing subscribers.",,2015
7,Software Engineering & Web Systems,evaluation of the participant-support method for information acquisition in the multiplex risk communicator,"there has been a diversification of the social risks to information-based society leading to complex social issues, and risk communication is necessary in order to solve the complicated social problems that arise concerning stakeholders with various levels of knowledge and differing standards regarding risks. in this paper, we introduce a portal system that assists participants to achieve an optimal combination of countermeasures. the characteristics of the proposed method are: first, to classify the stage when participants acquire information; second, to enable smooth transitions during the information acquisition stage; and third, to support information acquisition by offering information portals.",,2007
2,Machine Learning & Modeling,binary and quadriphase sequences with optimal autocorrelation properties: a survey,"time-discrete signals with good autocorrelation properties are used in various applications in communications engineering. from an implementation point of view, usually sequences with a small phase alphabet and a maximal energy efficiency, i.e., a uniform envelope, are most favorable. for this reason, known methods as well as several new construction techniques of binary and quadriphase sequences with optimal or best known autocorrelation properties are discussed in this correspondence. in many cases, the achievable correlation properties can be improved significantly if a single zero element per sequence is accepted. these ""almost"" binary and ""almost"" quadriphase sequences are considered as well. the optimality criteria used include the maximum absolute sidelobe and the merit factor of the periodic and the odd-periodic autocorrelation function, respectively. for sequence lengths of up to 44 in the binary case and up to 32 in the quadriphase case, the best known parameters obtained by computer search are compared with the constructed results.",IEEE Transactions on Information Theory,2003
1,Data Mining & Databases,optimizing batch linear queries under exact and approximate differential privacy,"differential privacy is a promising privacy-preserving paradigm for statistical query processing over sensitive data. it works by injecting random noise into each query result such that it is provably hard for the adversary to infer the presence or absence of any individual record from the published noisy results. the main objective in differentially private query processing is to maximize the accuracy of the query results while satisfying the privacy guarantees. previous work, notably li et al. [2010], has suggested that, with an appropriate strategy, processing a batch of correlated queries as a whole achieves considerably higher accuracy than answering them individually. however, to our knowledge there is currently no practical solution to find such a strategy for an arbitrary query batch; existing methods either return strategies of poor quality (often worse than naive methods) or require prohibitively expensive computations for even moderately large domains. motivated by this, we propose a  low-rank mechanism  (lrm), the first practical differentially private technique for answering batch linear queries with high accuracy. lrm works for both exact (i.e., e-) and approximate (i.e., (e, δ)-) differential privacy definitions. we derive the utility guarantees of lrm and provide guidance on how to set the privacy parameters, given the user's utility expectation. extensive experiments using real data demonstrate that our proposed method consistently outperforms state-of-the-art query processing solutions under differential privacy, by large margins.",ACM Transactions on Database Systems,2015
2,Machine Learning & Modeling,indoor localization using unsupervised manifold alignment with geometry perturbation,"the main limitation of deploying/updating received signal strength (rss) based indoor localization is the construction of fingerprinted radio map, which is quite a hectic and time-consuming process especially when the indoor area is enormous and/or dynamic. different approaches have been undertaken to reduce such deployment/update efforts, but the performance degrades when the fingerprinting load is reduced below a certain level. in this paper, we propose an indoor localization scheme that requires as low as 1% fingerprinting load. this scheme employs unsupervised manifold alignment that takes crowd sourced rss readings and localization requests as source data set and the environment's plan coordinates as destination data set. the 1% fingerprinting load is only used to perturb the local geometries in the destination data set. our proposed algorithm was shown to achieve less than 5 m mean localization error with 1% fingerprinting load and a limited number of crowd sourced readings, when other learning based localization schemes pass the 10 m mean error with the same information.",wireless communications and networking conference,2014
3,Robotics & Control Systems,fault accommodation for linear systems with time-varying delay,"abstractthis paper studies the fault accommodation problem for linear systems with time-varying delay, system uncertainties and external disturbances. a novel intermediate estimator-based fault tolerant control (ftc) scheme is proposed, where an intermediate estimator is constructed to estimate the states and the faults simultaneously, based on the estimation; an ftc compensation scheme is designed to eliminate the effects of faults, system uncertainties and time-varying delay. it is proved that the states of the closed-loop system are uniformly ultimately bounded. a simulation example shows the effectiveness of the proposed method.",International Journal of Systems Science,2017
